,Product Title,Original Price,sale Price,Saving,Product Url
52,Maroon Lawn Tunic - ALP-LK-1012,3100.00,2325.00,775.00,https://www.almirah.com.pk/collections/tunic-kurti/products/turquoise-lawn-tunic-lk-663
53,Maroon Lawn Tunic - ALP-LK-1012,2800.00,2100.00,700.00,https://www.almirah.com.pk/collections/tunic-kurti/products/black-lawn-tunic-lk-662
54,Maroon Lawn Tunic - ALP-LK-1012,3100.00,2325.00,775.00,https://www.almirah.com.pk/collections/tunic-kurti/products/orange-jacquard-tunic-lk-661
55,Maroon Lawn Tunic - ALP-LK-1012,4050.00,3037.50,1012.50,https://www.almirah.com.pk/collections/tunic-kurti/products/lime-karandi-tunic-lk-211
56,Maroon Lawn Tunic - ALP-LK-1012,4150.00,3112.50,1037.50,https://www.almirah.com.pk/collections/tunic-kurti/products/denim-blue-denim-tunic-lk-222
57,Maroon Lawn Tunic - ALP-LK-1012,3650.00,2737.50,912.50,https://www.almirah.com.pk/collections/tunic-kurti/products/black-linen-tunic-lk-213
58,Maroon Lawn Tunic - ALP-LK-1012,3400.00,2550.00,850.00,https://www.almirah.com.pk/collections/tunic-kurti/products/blue-tunic-lk-212
59,Maroon Lawn Tunic - ALP-LK-1012,3650.00,2737.50,912.50,https://www.almirah.com.pk/collections/tunic-kurti/products/brown-silk-tunic-lk-209
60,Maroon Lawn Tunic - ALP-LK-1012,3100.00,2325.00,775.00,https://www.almirah.com.pk/collections/tunic-kurti/products/black-khaddar-tunic-lk-206
61,Maroon Lawn Tunic - ALP-LK-1012,3650.00,2737.50,912.50,https://www.almirah.com.pk/collections/tunic-kurti/products/blue-silk-tunic-lk-208
62,Maroon Lawn Tunic - ALP-LK-1012,2500.00,1875.00,625.00,https://www.almirah.com.pk/collections/tunic-kurti/products/beige-tunic-lk-609
